Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,25000,99999,offline,12,Fixed,0.20%,0.20%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,100000,499999,offline,12,Fixed,0.22%,0.22%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,500000,,offline,12,Fixed,0.24%,0.24%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,1,999,offline,36,Fixed,0.04%,0.04%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,1000,9999,offline,36,Fixed,0.30%,0.30%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,10000,24999,offline,36,Fixed,0.35%,0.35%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,25000,99999,offline,36,Fixed,0.40%,0.40%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,100000,499999,offline,36,Fixed,0.45%,0.45%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,500000,,offline,36,Fixed,0.50%,0.50%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Ready Access Certificate of Deposit,1000,,offline,12,Fixed,0.15%,0.15%,Bank Website
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Essential Savings,0,,Offline,,Fixed,,,Bank Website
