Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$25,000.00 - $99,999.99",offline,36,Fixed,0.40%,0.40%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$100,000.00 - $499,999.99",offline,36,Fixed,0.45%,0.45%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$500,000.00 and above",offline,36,Fixed,0.50%,0.50%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,Ready Access Certificate of Deposit,"$1,000.00 and above",offline,12,Fixed,0.15%,0.15%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Essential Savings,$0 ,Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$1,000 ",Offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$2,499.99 or less",Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$2,500 to $9,999.99",Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$10,000 to $24,999.99",Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$25,000 to $49,999.99",Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$50,000 to $99,999.99",Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$100,000 to $249,999.99",Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$250,000 to $499,999.99",Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$500,000 to $999,999.99",Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,$1 million or more.,Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,CD,6MCDF,CD_6 Month,"$2,000 ",Offline,6,Fixed,0.35%,0.35%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,CD,12MCDF,CD_12 Month,"$2,000 ",Offline,12,Fixed,1.24%,1.25%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Balanced Banking,"$3,000 ",Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Essential Checking,$500 ,Offline,,Variable,,
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"$2,499.99 or less",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"$2,500 to $9,999.99",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"$10,000 to $24,999.99",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"$25,000 or more.",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"$9,999.99 or less",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"$10,000 to $24,999.99",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"$25,000 to $49,999.99",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"$50,000 to $99,999.99",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"$100,000 to $249,999.99",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"$250,000 to $499,999.99",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"$500,000 to $999,999.99",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"$1,000,000 to $1,999,999.99",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"$2,000,000 or more.",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,"$9,999.99 or less",Offline,,Variable,,0.01%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,"$10,000 to $24,999.99",Offline,,Variable,,0.03%
3/9/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,"$25,000 to $49,999.99",Offline,,Variable,,0.05%
